"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Niger","NER","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","718524","737915","","","757232","770024","","","803809","","","","","873340","","","980188","1014531","1038252","1098159","","","","","1223683","1256793","1273456","1309278","1289633","1268015","1248111","1233012","1291221","1318481","1350628","1327697","1289159","1234862","1151997","1164170","1227045","1280821","1280841","1295483","1241317","","1647273","","",
"Nigeria","NGA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7018601","6563054","","","","6816675","6901743","6979702","6532169","8348023","8348219","8615770","","","","","","","","","","","",
"Nicaragua","NIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","205018","198143","203983","205522","210292","205440","203502","212886","229337","","197371","","219212","223810","240520","221675","235198","231163","236529","255636","244801","231722","210707","207712","201965","215930","220418","","","143233","119827","89155","33701","","6435","4878","18666","20412","14425","","28180","","","","","","","","","","","",
"Netherlands","NLD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","104731","115367","125001","136649","138799","124373","118338","109929","99953","96011","100873","123691","143992","154741","155510","88892","66337","48502","42128","43941","51680","62402","69851","11358","8793","6893","3825","","","","","","","","","","","","","","","","","","","","11016","4252","4492","","",
"Norway","NOR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","9007","6946","","","","1226","1424","4012","5412","3271","6334","7212","","9761","13053","12491","9988","7610","4228","835","133","1086","4135","5034","5768","5647","61975","403","339","564","392","575","0","2224","5946","5552","3508","2626","3171","3419","2067","909","198","350","576","483","177","2","40","","",
"Nepal","NPL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","848644","849092","","","","807830","","","","","","","","","","","1058356","882973","","","688699","677338","","","","","","","22049","2895","","30866","49866","49332","101223","","","","",
"Nauru","NRU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","79","","","","","","","","","","","","","","","","","","","","","","86","","","","","234","","31","","40","","","","67","",
"New Zealand","NZL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","106","795","367","1859","2065","1614","1220","1528","2004","2076","1874","2386","2713","3912","1585","1314","732","420","323","510","1457","3143","7701","","9432","5060","3547","852","","","","","","","","","","","","","","","","5665","7232","6658","3655","913","1109","0","","",
"OECD members","OED","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","10227716","10238815","10213322","9659752","9758269","9506563","8776520","8331846","8045166","7274209","5199651","5067829","4710232","5091645","5120935","5117476","4553791","4004683","3719355","3809530","3213752","3286513","3322757","3691628","3938202","3677205","3671712","3741193","2254266","1619415","1640211","1773641","1985087","1937811","1838483","1136289","1052241","955257","906094","1411405","1458895","1658330","1928832","2042370","1814751","1486603","1192502","1163139","1159439","1169720","1200145","",
"Oman","OMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","113737","110355","104124","106819","","103240","102459","","102554","103002","103148","96337","97521","89861","89629","96413","97998","98951","99865","98716","90765","88971","85072","75494","73150","65333","58485","54768","50881","51024","55647","","","","","","6063","","3319","1060","761","1663","1634","412","4181","8733","7923","4736","",
"Other small states","OSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","569123","594195","590007","580159","557458","528042","510486","505749","528576","541586","537766","522718","504740","510383","507711","498927","523361","541497","566635","602855","656168","674201","707487","719417","700271","714968","711343","715480","707567","712889","637171","603090","581159","565869","562109","550309","518849","512777","511021","503139","477826","454308","452933","460642","460895","450573","451346","438439","442449","435266","436810","",
"Pakistan","PAK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","65930","46348","40595","35837","","32473","34095","","28954","33988","37953","42916","46701","51001","52192","50592","51020","48660","51819","47070","46701","","","","","","","","","22768","17796","12076","4136","","1778","4850","2064","2238","6779","16888","13564","17234","20155","27291","37370","44375","","58658","","","47957","",
"Peru","PER","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","558887","","","510132","","","","","","","476281","344385","326850","","","166292","","","307581","","","","","348777","","542453","563367","586390","113132","61745","31666","20442","17445","71982","22064","21299","21041","19818","19613","39411","17475","21164","","","","","10993","33838","47585","","","",
"Philippines","PHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","221322","","","280660","","523046","532680","670782","741301","463145","525019","514214","344072","215108","135135","","425401","529095","706415","","450645","","919189","1262678","","1106558","1066658","1153720","1242726","1215007","1425856","1409725","1274735","992346","","","","","333178","364140","429607","424228","500780","406435","478927","",
"Palau","PLW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","69","","","","","","59","",
"Papua New Guinea","PNG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","307828","","","","","","","","","","","","","","","","","","","","","","","","","","","86115","","","","","",
"Poland","POL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95940","102214","107636","133863","158335","176788","187585","176973","166363","146698","127728","111911","109509","89161","75799","77551","","","59793","50722","27189","","",
"Pre-demographic dividend","PRE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","26441698","26313388","26146582","26100496","25401456","24475212","23257392","23025816","22916656","23327680","23676730","24517096","25897496","27622368","29445756","30813490","32532988","33583184","33810272","35174592","35668756","36450196","36823392","39365816","37867172","38391876","38685916","37911284","36733424","35003976","32477266","31363364","31102960","30223232","28915868","29244656","29413916","30406560","30116568","30630296","31677560","32171986","33715500","33990240","34683808","33953436","35642820","36290292","",
"Puerto Rico","PRI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30673","40004","36367","38182","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34974","","","","","","","","","","","","",
"Portugal","PRT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","116064","115908","","72441","62155","37733","","43050","38067","","","20815","5542","3500","4717","","","2565","9968","3088","2138","7577","3874","3039","","","","16228","","","","","2118","2956","","","461","142","1192","907","525","3051","7802","11170","3662","2425","2037","","",
"Paraguay","PRY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","87046","","136122","84752","","100374","96798","93554","86246","80633","70368","61129","","60911","64798","67484","75885","74241","67218","57976","48643","37309","102401","31571","67721","71082","47522","","","18599","7272","8970","23140","27495","31805","28959","41918","57741","71385","81945","81468","82107","86111","","","","","","","","","",
"West Bank and Gaza","PSE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34652","33469","43030","45197","49650","53640","63681","66208","69245","58463","49987","43032","37982","23624","21994","17468","19492","18698","12194","13014","17559","24571","",
"Pacific island small states","PSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32347","30075","24138","21806","21996","31975","25215","28015","34058","32806","26323","22888","21601","21328","20167","18737","19994","16713","14111","9403","6990","7404","4975","7105","9587","8361","8325","12822","15417","16098","",
"Post-demographic dividend","PST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","7532376","7507349","7634534","7286564","7462181","7037207","6359593","6102552","5797461","5620455","3649913","3801056","3474084","3909302","4125802","3982217","3344479","2759121","2347217","2077257","1846379","1716726","2104457","2277750","2318250","2046744","2206124","1981473","1440619","1330343","1387891","1330853","1460773","1520882","1467139","916813","910769","865059","796390","1107848","1109871","1167277","1269002","1353706","1238360","1066839","707332","809020","867140","954329","957512","",
"French Polynesia","PYF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","1272","1347","1675","","","","286","81","","","156","","106","159","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","2685","2227","2183","2472","","2177","1986","1207","920","934","1308","1219","1813","1983","2866","2767","4317","5152","5923","7202","10049","12057","12965","10451","","","","1485","715","2174","1521","1034","1960","2731","905","3885","285","","1701","1789","581","2076","6669","6996","4352","3584","2972","1985","2949","","",
"Romania","ROU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","335243","227114","163773","148615","149922","96108","127243","118045","102718","63672","23685","1161","3177","20183","19541","20516","18751","20293","24545","33096","","","82464","104345","126456","135701","135003","","",
"Russian Federation","RUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227868","487307","","","","","","","","","","","392796","338135","114211","44971","","21682","24643","22969","149626","80703","36857","8523","10839","4876","","",
"Rwanda","RWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","301564","321361","344500","","335605","329226","","","","","","","","","","","","","","","","","","","","","171140","","","255515","197182","","","","","","","","","","","","","13957","42716","81300","121348","","",
"South Asia","SAS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","39900000","41000000","40300000","37800000","38700000","38100000","38300000","37300000","40600000","41400000","41100000","40500000","41200000","40300000","39700000","40400000","39300000","41700000","39700000","37600000","38200000","38800000","38800000","37300000","36000000","36100000","36200000","36500000","38100000","37200000","34600000","34700000","33800000","27000000","22600000","19500000","18100000","14900000","15200000","16700000","15900000","17100000","15600000","13600000","16300000","17400000","16500000","16500000","15600000","15000000","15200000","",
"Saudi Arabia","SAU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","775858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253278","89185","90164","4621","67693","","22068","58970","","","","177254","",
"Sudan","SDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2363794","2621101","2618997","2652400","2657780","2561223","2443016","2130650","","","",
"Senegal","SEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","585721","585148","595316","602000","607038","610450","625005","639767","585423","","620449","653856","688582","","744848","","780769","","747136","695521","667557","696536","658239","","","580082","642783","637148","594493","560734","555123","561905","553211","550287","503229","540858","541676","563931","","","","681296","670978","",
"Singapore","SGP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","72","476","236","","",
"Solomon Islands","SLB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18342","14861","15048","","","","","","360","492","68","","","4351","6828","","",
"Sierra Leone","SLE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","368744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43719","2476","","19253","6104","","","","","",
"El Salvador","SLV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","215532","","","","","","","","","","","","","","","","","","","","","","","","","","","","129937","","62638","56806","42074","38209","","","","","","","","","","","50020","","","","","","","",
"San Marino","SMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","62","",
"Somalia","SOM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","497575","569637","667790","748845","821026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937","422","3174","4168","9982","15004","7458","10495","10006","3423","2187","2253","2752","3815","4887","7672","",
"Sub-Saharan Africa (excluding high income)","SSA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","31537192","31781592","31276068","30802192","29890764","29307528","28784162","28706756","29285548","30585868","32323360","34447484","36495856","38238504","38903000","40562040","40815668","42162692","42912000","43718104","43995820","46091928","44398992","44621696","44722772","43130164","41666360","40615068","38587892","37284752","35453648","33969712","31627708","31066824","31240772","32511406","31447320","31895004","31911360","32619146","33944976","34140816","34939120","34811144","36265528","37135492","",
"South Sudan","SSD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","894162","","","","1088325","","","","","","",
"Sub-Saharan Africa","SSF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","31538254","31782948","31277468","30803588","29892360","29309436","28785860","28708290","29287062","30587456","32324742","34448696","36497336","38240196","38904684","40563568","40816988","42163996","42913192","43718992","43996620","46092692","44399464","44621752","44722980","43130320","41667184","40615180","38587944","37284808","35453704","33969892","31627828","31066924","31240840","32511406","31447320","31895004","31911424","32619230","33945052","34140968","34939368","34811412","36265752","37135628","",
"Small states","SST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","655698","677120","666156","657881","628688","617072","608921","585667","608958","625932","636324","618790","592844","596518","595642","589935","614008","616605","644577","668982","737755","770430","803876","814753","791322","803046","808309","804694","792351","802119","719142","683712","669159","654639","636270","631443","600632","600442","589802","581318","545802","517692","514534","519380","521647","510670","508582","498811","506306","500560","503043","",
"Sao Tome and Principe","STP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","662","689","","","1696","1508","","1112","","","","","","","","","4725","","","1079","784","455","456","","2708","2515","2470","2718","","","3728","3702","3817","","2100","","","","",
"Suriname","SUR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","3734","2676","","","","","","","594","","728","648","","","","","","","","","","","","","","","","","10878","9674","10829","7120","5169","6263","7418","7124","7399","7665","6595","5850","8579","8601","7676","7371","",
"Slovak Republic","SVK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10471","18356","21387","22196","17806","11429","5709","5564","8041","10409","11670","9150","8543","11034","13359","14552","12554","10196","7558","","",
"Slovenia","SVN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7536","5524","4670","2205","3169","3851","3137","2427","1594","382","135","50","846","729","764","683","353","431","718","894","521","558","225","294","140","","",
"Sweden","SWE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","3902","","","","","","25893","","","","","11201","9452","7188","2814","1601","939","2150","611","7176","1254","1131","","1596","2563","1971","1924","5057","20639","30171","30933","21958","7755","2088","2051","1649","921","253","429","17","970","1876","892","880","","",
"Eswatini","SWZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","35882","37177","36561","34971","35206","34080","34396","34705","36236","37264","36991","35883","38601","42284","43909","43538","46268","46860","49186","51914","50112","50933","49413","50588","46978","41251","42342","","","","","","","","","","","","","34556","23434","13336","22581","30229","29136","31776","31985","35890","33794","31402","","",
"Sint Maarten (Dutch part)","SXM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","1597","","","","","","","","","","","","","","1190","887","801","763","","52","","155","824","112","51","55","57","","","","","","","","64","84","77","152","249","269","224","135","",
"Syrian Arab Republic","SYR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","308605","","219870","206481","211190","208174","203122","215115","226482","221952","231289","236397","238520","214412","194386","168977","105669","111841","108068","117989","97350","90241","91075","87205","87730","91055","112514","87391","89620","81183","63896","59676","28670","18224","15107","15506","15119","15050","17353","21842","","","523049","","","","","","","","",
"Turks and Caicos Islands","TCA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","413","","260","230","45","425","854","694","643","","","","","","","","","","","","","","","","",
"Chad","TCD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","473517","","491403","","","","","","","","","","","617909","","","","","","","","768750","730767","691969","693865","697774","706667","683340","688676","","","","","","","","816390","","509010","","511634","674855","840265","693571","723879","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","16156298","11244088","8970170","7170937","7405988","7363106","8293688","9730098","11714453","14617425","16864580","18662018","15063099","10591902","9794301","8685569","8314906","8011913","8388333","8398548","9410235","7283327","7127740","6406984","6096319","5749278","5591661","5887468","5702000","5600003","5696930","5372815","5315670","5583998","5532190","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1625692","1733927","2040723","1888920","1898379","1674769","1475750","1572567","1337575","1043753","896108","846983","1184640","1224912","1146384","916772","1003257","855689","833569","840835","728036","804474","750778","763033","737847","763979","767092","924264","",
"Togo","TGO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","166739","169717","","","","","","125231","123703","126176","","147848","166136","209837","228391","261667","218414","224188","230369","229636","218542","","","261365","201771","148438","167005","","88372","99704","77663","73039","73547","66952","65734","59560","89071","82350","","","","","","89412","69596","96411","90527","66428","40071","15757","",
"Thailand","THA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","1782217","1811535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62039","84459","112921","93542","","","","","","","","","","","","",
"Tajikistan","TJK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24247","27312","15221","15070","13117","11694","13834","11175","10862","9264","7997","8812","5662","5206","9406","13296","13580","4181","","","","",
"Turkmenistan","TKM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","6417644","6444035","6362085","6158414","6019206","6071188","5850191","5500870","5314791","4608282","4448308","3931152","3887101","3949072","4090926","3921310","4127595","4179726","4430216","4921512","4702907","4565198","4183470","4037166","4394995","4480115","4245099","4779488","2909922","2150908","1920740","1875535","1558235","1882842","1873699","1561455","1428713","1311498","1302783","1393258","1509339","1865461","1816099","1740568","1855767","1793667","1842998","1764511","1671659","1592816","1657349","",
"Timor-Leste","TLS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28132","18095","18532","13555","16660","14821","13248","10486","10188","5688","7728","9004","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","7858895","8095482","7528911","7432327","7417881","7031162","6643285","6456529","6328603","6666963","6202076","6435966","6266594","6242202","6048407","6123397","6056056","5957931","5919361","6131544","5419759","5350931","6372826","6445343","5954789","6547605","5914149","6019468","6175651","5912922","5429938","4413584","3668840","3356947","3078296","3240210","3382016","2917836","2697411","2451350","2153920","2182853","1924617","2266630","2505086","2545967","2563543","2454341","2375910","2393406","2424355","",
"Tonga","TON","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1987","1836","883","","1802","456","","","","","","","179","1380","158","435","464","","","","1188","","","1135","","","","","873","995","","146","","","290","181","167","","","","","","198","189","","163","","","33","52","94","",
"South Asia (IDA & IBRD)","TSA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","39893352","40999796","40280692","37768456","38713924","38105956","38317068","37342416","40630084","41420252","41132048","40478472","41182544","40264008","39722808","40434488","39279056","41729176","39670628","37552340","38228256","38759576","38761072","37344488","36045436","36139472","36176504","36505976","38054272","37193872","34616812","34722008","33761652","26969120","22568540","19489422","18116068","14891376","15182384","16713165","15894082","17148412","15556466","13640044","16278605","17392756","16452460","16525660","15591971","14971565","15235099","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","31538254","31782948","31277468","30803588","29892360","29309436","28785860","28708290","29287062","30587456","32324742","34448696","36497336","38240196","38904684","40563568","40816988","42163996","42913192","43718992","43996620","46092692","44399464","44621752","44722980","43130320","41667184","40615180","38587944","37284808","35453704","33969892","31627828","31066924","31240840","32511406","31447320","31895004","31911424","32619230","33945052","34140968","34939368","34811412","36265752","37135628","",
"Trinidad and Tobago","TTO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","13582","15240","16463","16274","14085","8087","6579","9599","17106","22356","14343","12431","12629","14018","13707","17065","13734","12589","15645","19763","21145","22388","24253","","","21673","21095","","3533","1010","1711","7997","5711","1518","5115","","921","2434","2016","1509","","","","","","","","","","","",
"Tunisia","TUN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","200687","","","","232758","","","217532","205821","187741","172728","147960","118342","90285","83160","75116","70606","68165","64777","74980","63903","60141","50550","51072","48530","61100","75683","","73986","58775","34873","8409","11614","13482","13365","15301","24782","20749","14284","11187","11208","13913","11036","","","","","","","","",
"Turkiye","TUR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","738979","","","","","","","","","","","488146","436676","463084","362150","366728","256977","304341","293739","453284","505921","542473","","510652","","319620","263011","228366","207841","181104","161550","142801","126890","97321","148450","306036","247866","311775","404089","342826","277326","277670","310864","273461","266561","259524","","",
"Tuvalu","TUV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131","71","178","","","297","273","",
"Tanzania","TZA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","1589677","","","","1041236","1118953","1337562","1428479","1601906","1767623","1878996","2000760","2135520","2202460","2296785","2404931","2481287","2607013","2757719","2844419","2914465","2965410","3069521","3115400","2955790","2732287","1798614","1256066","965078","645664","226064","","69235","","604441","","1100928","1370468","1580287","","1563643","1611822","1895125","1712650","1812727","",
"Uganda","UGA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","1498497","","1480923","1477089","","","","1272560","","","","","","","","","","","","","","","","","","","","","","","318662","575155","370317","","328897","","","","","","","","",
"Ukraine","UKR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59686","199111","195612","183380","196226","197170","195181","184273","143343","110652","100077","101371","136260","","","","","","","",
"Upper middle income","UMC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","19330428","14962613","12855835","10461230","9334937","9021698","10032961","11419600","13951223","16924728","18871596","20110838","15450970","9763182","9071585","8202887","6808495","5927203","6001510","5729643","7007407","5544291","5445191","5669556","6024400","6493635","6471895","6242650","6162725","5934888","6138289","6188666","6185489","6490164","6732530","",
"Uruguay","URY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","43849","43488","38805","37606","40327","","","","25022","18766","16619","21789","23587","25424","25211","","","","","","","","206","197","4639","802","908","470","586","677","245","8590","41","0","857","428","1584","","",
"United States","USA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135557","","","","","","","","711515","","446256","88850","104711","141533","224977","","",
"Uzbekistan","UZB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166852","135700","144402","123898","108942","74512","50823","20871","15391","15174","16680","17322","15291","23447","",
"St. Vincent and the Grenadines","VCT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","1270","","588","","","","","","","","95","","","","","","295","","158","94","104","269","","181","259","99","71","97","38","21","","113","94","58","","","","",
"Venezuela, RB","VEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","487876","483515","492933","530164","526775","479561","463208","439687","425076","","","","","","","","","","","","","","","","","","","","354587","270691","198759","82627","140724","139178","169014","168601","122932","194712","137262","117246","120920","132663","163201","195773","208182","278368","324992","","","","",
"British Virgin Islands","VGB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","200","222","39","","","","","33","7","6","","71","","","","","49","414","199","53","40","","155","235","45","","50","77","2","171","103","20","","","","48","","","",
"Virgin Islands (U.S.)","VIR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","180091","656605","","","443880","","","","657955","","","","","","","","","","","","","12373","33967","145865","271895","550211","","","686337","483304","","94222","0","0","0","0","0","","","","","","","","",
"Vanuatu","VUT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","2991","","","","","","","","6095","","","","","","","","","558","686","200","131","241","104","766","279","","","","","","","","","","3300","","","","1980","1576","",
"World","WLD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","124973904","128474832","127439600","119880720","119205880","115882984","114983880","117273048","124840944","124774688","119971408","116489968","115103024","114488576","113575120","110186840","105939856","104804848","101903072","99220072","100630320","101054232","104366256","105458496","106967712","110880952","114308200","115151040","110757032","104193152","98649512","94902440","91326744","81943144","76167848","70860984","68962904","60453448","59403244","60533600","60239992","60561624","58980720","57690856","61164004","63193864","62320560","62812336","61639532","62810832","64162188","",
"Samoa","WSM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779","","","","1041","1172","706","692","","","","","","456","","75","157","417","382","","236","165","411","185","387","","","",
"Kosovo","XKX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1361417","","1164637","","998160","906352","832490","","","830452","","648153","","561198","541077","","","649902","","","","","",
"South Africa","ZAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1289653","","","","","","","","","","","","","","","","","","","","","879766","","","792993","755068","","","730746","641448","723573","652929","563106","459597","396784","380577","","","","","","","","","","311658","","567591","845478","843053","","",
"Zambia","ZMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","207508","","","","209549","216057","234998","249086","258894","268446","280629","271399","266888","","267083","","315561","","","","","","476746","519775","","","610424","650743","664824","683984","637091","","387210","207331","254011","201337","197673","289152","378994","292728","264378","352280","","","","495692","","","","",
