"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Switzerland","CHE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","145311","140493","","","123870","119613","117164","115727","112354","107342","99520","89863","79939","72350","69480","70739","75972","81604","51876","43081","","","659","1700","2403","2525","2716","3084","","","","","2566","2277","1662","1820","992","902","794","64","706","402","418","","",
"Channel Islands","CHI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48934","40511","62756","42194","49451","51097","57277","56759","54386","45312","33899","19351","7009","","",
"China","CHN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","7476623","5430764","3770791","3030952","3125562","4127781","5428471","7449047","9980293","12155634","13744570","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","524322","","","","","","","","","","","","","","1026424","1055253","","","","1060711","1070345","","1088500","1143373","1059153","1088610","1250446","","","","","","1463648","","","","1136993","987969","864920","489791","430570","241575","199358","148341","",
"Cameroon","CMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","357318","381185","413842","452117","391669","386519","416243","414253","416822","428366","","","","","","","","471789","","527942","586769","","","","","","","","","","","","","","","","","469184","396960","","363235","187344","","174485","164168","192130","258823","","346513","","",
"Congo, Dem. Rep.","COD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","982098","1071771","","","1078363","","","","1096115","","","","1105996","1107079","","","","1845295","","","2209713","2400769","2568517","2598084","2158017","","","","4762613","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","38752","","26537","","21447","","13430","13156","37762","42120","41547","41338","38417","","","","","","","","","","","","","","","","","","","","","265158","253782","","","","88847","","73737","","","","","","130688","","","",
"Colombia","COL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","943720","","1043280","1109510","1206297","1195849","1214512","1220692","","1119951","807162","786494","762069","639431","444717","","99456","54545","34598","123857","75699","","134450","5855","6187","12065","4544","28835","92389","112318","196206","","","140666","175096","100446","85793","35080","44988","",
"Comoros","COM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","6839","","","9759","14890","","","","","","","23445","","","","","34700","29428","","","","","","","20935","","","","","","13563","15345","","","17935","22667","","","",
"Cabo Verde","CPV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","5281","5913","7356","4095","2684","2055","1472","229","","428","","","","536","","","","126","","334","1892","2322","2516","3447","2494","1531","1772","2150","2754","3355","4140","3896","4249","4196","4110","4420","4306","3973","4792","","",
"Costa Rica","CRI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","48183","","41445","36924","","32838","25157","","28201","32826","32979","31679","38273","","","52474","51325","52722","","54917","56707","56264","49820","49528","55245","51050","42453","","","","","","","","","","","","","","","166","246","2078","9974","8005","6189","13846","509","555","316","",
"Caribbean small states","CSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","56473","57127","53082","51794","45699","65763","77952","59273","58495","58694","70485","64660","52656","48586","50566","51219","51983","37647","41458","30911","47312","63882","66314","71198","69246","66082","64990","64000","56769","55173","49166","54299","65113","67169","52833","60967","63047","67671","62069","64068","58573","56394","54197","53764","","","","","","","","",
"Cuba","CUB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","85304","70653","59703","","","","","18876","31255","68521","88128","87617","103171","115847","101982","77907","74143","69708","72119","76177","56135","49148","28462","31029","12282","14799","14402","6499","4453","4179","1633","13331","16503","24944","33403","25722","26220","12572","7007","10264","15962","15699","37618","44344","40376","31515","15680","5703","1455","",
"Curacao","CUW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","905","",
"Cayman Islands","CYM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","132","169","452","","591","751","502","279","414","","","482","499","598","","","","","511","","","",
"Cyprus","CYP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","15955","16551","16272","16465","20938","22368","22731","21869","21004","21115","18914","20971","20871","20755","20326","17336","14827","14186","14590","15643","16013","17852","1508","1986","2460","2516","2411","","63","1276","1347","724","517","482","15","37","114","228","198","19","82","710","973","1217","758","961","754","329","295","","",
"Czech Republic","CZE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4592","","","","","","","","202","2839","250","16","3219","2076","5048","3511","1026","1840","1847","2386","5000","","",
"Germany","DEU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3028","2890","21535","147592","116838","86792","65456","62917","51333","78712","89319","70080","71525","95234","102890","92141","52589","14502","15035","19808","28845","","",
"Djibouti","DJI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","52545","54345","58368","62653","66363","68605","70241","69774","72923","73558","74769","77662","81979","","85856","85747","81708","79398","","74786","73323","70269","64895","49807","49230","","37863","","37538","29421","35253","37933","35576","33948","30090","30897","32156",
"Dominica","DMA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","220","1108","1189","","2052","2120","2288","1706","","","","","","","","","","","","","","","","","","171","778","610","863","1033","1247","1293","1575","1418","722","","88","","","","","61","","","228","54","",
"Denmark","DNK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","20604","16620","8811","4462","5139","5376","4519","3934","8171","8299","6046","8621","9982","4270","5640","6193","","1978","779","267","598","560","","7258","6012","4619","2048","2674","3783","4875","4182","2629","1172","2315","275","47","944","2813","3152","","",
"Dominican Republic","DOM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","194261","","","","","","","","","","","","","","","","","","","","","","","","","","","158891","144073","","67726","108247","170852","156721","170671","97872","141477","48796","54305","56059","70495","73041","93781","52389","53438","61774","65825","45804","47570","",
"Algeria","DZA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","866046","781030","731044","688975","659253","645462","661950","646464","657367","689335","735831","722889","733454","710820","679124","652265","623454","614621","549637","510013","539814","548351","541872","565833","592222","","462619","426108","329083","272111","245671","207294","186567","169018","153328","98566","29031","30997","26336","24848","","","23175","26224","19722","14211","12511","7718","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","16186896","11272763","8998395","7200261","7437359","7396424","8328285","9765388","11749736","14652276","16899064","18696612","15097657","10626821","9829781","8721639","8351421","8048620","8424995","8434968","9446202","7318821","7162871","6441823","6147961","5817496","5676033","5987340","5845939","5760621","5872609","5563029","5520719","5786491","5733822","",
"Early-demographic dividend","EAR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","65646868","67231400","65754728","63124972","64560444","63245896","62686504","61059480","63707664","64086440","62720232","61100264","59349936","58422436","57886472","58527464","57848876","59821480","58116584","55398164","56579632","56817008","57748664","57164976","55888800","57207720","56058632","56811168","56800668","55166784","51022340","49164644","48107924","41819456","37179572","32967040","30896946","25289230","24590168","25098184","23721160","24066776","22314756","20165012","23304700","24101512","23254092","23067498","22919866","21997352","22530088","",
"East Asia & Pacific","EAS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","23878282","28404674","33747204","34216816","32553820","30151394","28842230","28147592","26666474","21018856","16355507","11368160","9054511","7248337","7503521","7525347","8509963","9983094","11934986","14863198","17136490","19001036","15445575","10992867","10173380","9036608","8671781","8340236","8703722","8642293","9641057","7501064","7333991","6614070","6307600","6009715","5912453","6251811","6094430","5933374","6075701","5798651","5727450","5959204","5906835","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1216916","1470090","1569833","1821060","1681275","1757020","1574821","1363631","1457590","1224941","909276","737271","669064","995238","1046248","978096","765063","859681","734744","719275","749769","650019","724973","677723","694861","675750","710491","736164","893354","",
"Europe & Central Asia","ECS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","3637746","3822432","3780698","3693989","3498210","3445545","3354878","3244947","3220029","3513253","3483608","3612833","3263234","3241296","2917636","2706681","2437557","2527537","2483619","2294919","2413724","2537944","2604521","2770408","2496960","2450808","1812139","1680718","1793149","1575687","1441407","1315601","1303914","1468050","1501028","1441081","1171885","1298294","1139206","1087234","1106505","963149","1092714","984421","976226","985756","1061124","1102867","1257214","",
"Ecuador","ECU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","206940","","214019","210023","223211","223875","192650","174584","139046","159712","","","","","","","","","","","","","","128115","121288","102732","62327","55723","60406","50654","27626","14231","15549","","38135","27548","16798","102041","17566","14251","16225","22018","19637","19364","18294","19917","21217","24550","27680","26147","",
"Egypt, Arab Rep.","EGY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","1899760","1917252","1972834","","","","","2092167","","","","","","","","","","","","","","","","1021099","","","918774","","1093575","940878","859931","779610","698991","629617","740263","1021441","571625","","419055","232505","399760","93461","","44389","","57267","63338","77552","90674","","",
"Euro area","EMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1074405","1085208","1075990","1094009","969420","915958","846340","833358","746489","687701","659627","674748","723066","838859","857140","831772","665686","596845","560615","533334","557954","581334","659284","627079","640094","538931","394122","356652","114410","188235","195011","215855","362367","364236","356258","201856","187127","152594","183506","200577","196064","160579","181012","202579","264100","216592","184999","211827","241357","249849","247188","",
"Eritrea","ERI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229106","","231606","233515","231358","229638","","199867","171852","160101","126612","95191","72678","53880","47040","66304","80594","99124","117798","114587","113594","144901","162329","186394","","238210","241988","","","",
"Spain","ESP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","218522","176996","147660","","17393","3029","27410","45771","43141","27765","27097","","13632","7966","6814","6443","25328","43349","22973","22036","9027","8901","275","442","953","1513","1676","","645","3988","3369","2255","266","962","3381","3886","1437","234","1370","1785","1223","3127","6223","7383","9277","27756","74969","91786","83083","","",
"Estonia","EST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17158","12362","","999","1036","1221","1232","1218","552","1177","1220","1177","68","322","606","404","18","34","947","1598","2012","2244","2142","1946","2281","","",
"Ethiopia","ETH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","4821411","4941038","5202369","","","","","7228304","7270373","7103331","","6728261","6643489","6382724","6085635","6014090","6143478","6045715","4919386","4513859","3955683","3286605","3441635","3811908","3293817","3113007","","2194044","2306559","","","","","2187570","",
"European Union","EUU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1488688","1492733","1473103","1562674","1476515","1458037","1411229","1433214","1401631","1393988","1337686","1410110","1403880","1535009","1549291","1601029","1435539","1317034","1281967","1319643","1380171","1467568","1546900","1379454","1225712","1096786","941766","778349","338095","450591","459605","458372","603840","609492","638074","473480","468596","472352","420521","453783","419350","388999","392888","375755","448090","409188","414718","470182","525908","544862","536445","",
"Fragile and conflict affected situations","FCS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","24821614","25244000","25420540","25461104","26325504","26525758","26533132","26158970","25587336","24583760","23798882","22807824","22594462","22610448","23179326","24413836","25904524","27270072","28354408","29882060","31262970","30900852","31973712","32719056","33303502","34204988","36632636","36845080","37314720","37758192","36782376","36051780","35193768","34320852","33567392","32366320","31277332","29731992","29553596","29580096","30023046","28681120","28527860","28501576","29233284","30693310","31131380","31624672","30978518","32524280","33129978","",
"Finland","FIN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","88228","","","","","","","12304","","","","","","","","","","","","","","4926","5363","6595","6335","4935","1974","617","1014","47","1445","4101","7850","9179","11048","8383","6710","5955","4931","4015","2196","2407","1356","2192","2612","4187","4885","6961","","",
"Fiji","FJI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3786","","3364","4993","7560","7084","6029","6413","5787","2262","851","667","184","","356","382","656","847","","736","892","844","","900","576","","","","1225","",
"France","FRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","112633","116918","115679","104454","","135490","129411","","44642","29703","48096","99343","186021","","199167","89913","4161","5637","5150","3082","447","30145","84294","85949","40959","2046","2320","","124383","137264","138945","140553","149151","148892","3243","1136","5208","20115","36009","51322","9824","14993","23622","56322","21490","7005","2457","618","226","","",
"Faroe Islands","FRO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1308","2059","1440","","","1474","2373","",
"Gabon","GAB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","577","","","","","","","","","","","","","","","","","","","","","","16293","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","101444","152837","209010","236495","238110","228481","206831","197598","182608","108955","110658","150129","214720","228246","267508","196750","80531","13014","11833","8857","78003","146413","","","","","","2790","1408","1804","2917","8041","4091","26088","90","15484","95421","43699","78095","68120","70472","64029","11885","4433","2978","16211","20508","32122","55523","","",
"Georgia","GEO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27283","5007","369","","","","","","","7264","9062","10711","2032","4196","8873","","6588","3297","1192","1872","738","5946","2277","2434","1998","2037","",
"Ghana","GHA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220086","991208","1178240","1069923","1111249","","994857","941618","773915","587317","579940","","298913","334382","","","","","90704","153986","35432","265188","",
"Gibraltar","GIB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","1041","1110","","1122","1024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","",
"Guinea","GIN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","603140","599012","634248","670787","685989","711722","742623","744661","","","","","","","753529","750760","736478","711513","630647","601206","572339","559038","541783","521716","550600","540603","505386","445635","463108","439667","381963","","425413","","","","302477","",
